Aaron Sidford
Adam Bouland
Alex Aiken
Andrew Ng
Anshul Kundaje
Aviad Rubinstein
Balaji Prabhakar
Carlos Guestrin
Caroline Trippel
Chelsea Finn
Chris Manning
Chris Piech
Chris Potts
Chris Ré
Christos Kozyrakis
Clark Barrett
Dan Boneh
Dan Jurafsky
Dan Yamins
David Mazières
Dawson Engler
Diyi Yang
Dorsa Sadigh
Doug James
Ellen Vitercik
Emily Fox
Emma Brunskill
Fei-Fei Li
Fred Kjolstad
Gill Bejerano
Gregory Valiant
James Landay
James Zou
Jeannette Bohg
Jennifer Widom
Jiajun Wu
John Hennessy
John Mitchell
John Ousterhout
Juan Carlos Niebles
Jure Leskovec
Karen Liu
Kayvon Fatahalian
Keith Winstein
Kunle Olukotun
Leonidas Guibas
Li-Yang Tan
Maneesh Agrawala
Marco Pavone
Mark Horowitz
Mary Wootters
Matei Zaharia
Mehran Sahami
Mendel Rosenblum
Michael Bernstein
Mike Genesereth
Monica Lam
Moses Charikar
Mykel Kochenderfer
Nick McKeown
Nima Anari
Noah Goodman
Omer Reingold
Oussama Khatib
Patrick Hanrahan
Percy Liang
Peter Bailis
Philip Levis
Ron Dror
Ron Fedkiw
Sachin Katti
Sanmi Koyejo
Sara Achour
Sebastian Thrun
Serena Yeung
Silvio Savarese
Stefano Ermon
Subhasish Mitra
Tatsunori Hashimoto
Tengyu Ma
Thomas Icard
Zakir Durumeric
