Emma Brunskill, Associate Professor, Artificial Intelligence + Computational Education + Human-Centered and Creative AI + Machine Learning + Reinforcement Learning + Statistical or Theoretical Machine Learning
Chelsea Finn, Assistant Professor, Artificial Intelligence + Computational Education + Empirical Machine Learning + Machine Learning + Reinforcement Learning + Robotics
Stefano Ermon, Assistant Professor, Artificial Intelligence + Computer Vision + Empirical Machine Learning + Human-Centered and Creative AI + Machine Learning + Statistical or Theoretical Machine Learning
Thomas Icard, Courtesy Professor, Artificial Intelligence + Computational Cognitive & Neuro-science + Human-Centered and Creative AI
Tengyu Ma, Assistant Professor, Artificial Intelligence + Empirical Machine Learning + Machine Learning + Natural Language Processing and Speech + Reinforcement Learning + Statistical or Theoretical Machine Learning
Jeannette Bohg, Assistant Professor, Artificial Intelligence + Computer Vision + Empirical Machine Learning + Robotics
Serena Yeung, Courtesy Professor, Artificial Intelligence + Biomedicine and Health + Computer Vision + Empirical Machine Learning + Human-Centered and Creative AI
Noah Goodman, Associate Professor, Artificial Intelligence + Computational Cognitive & Neuro-science + Computational Education + Natural Language Processing and Speech
James Zou, Courtesy Professor, Artificial Intelligence + Biomedicine and Health + Empirical Machine Learning + Human-Centered and Creative AI + Statistical or Theoretical Machine Learning 
Fei-Fei Li, Professor, Artificial Intelligence + Biomedicine and Health + Computational Cognitive & Neuro-science + Computer Vision + Machine Learning + Robotics
Sanmi Koyejo, Assistant Professor, Artificial Intelligence + Biomedicine and Health + Computational Biology + Computational Cognitive & Neuro-science + Human-Centered and Creative AI + Machine Learning + Statistical or Theoretical Machine Learning
Jure Leskovec, Associate Professor, Artificial Intelligence + Biomedicine and Health + Data Science + Machine Learning + Statistical or Theoretical Machine Learning
Dorsa Sadigh, Assistant Professor, Artificial Intelligence + Empirical Machine Learning + Human-Centered and Creative AI + Reinforcement Learning + Robotics
Chris Piech, Assistant Professor, Artificial Intelligence + Machine Learning + Computational Education
Carlos Guestrin, Professor, Artificial Intelligence + Biomedicine and Health + Empirical Machine Learning + Human-Centered and Creative AI + Machine Learning + Statistical or Theoretical Machine Learning
Mykel Kochenderfer, Courtesy Professor, Artificial Intelligence + Empirical Machine Learning + Reinforcement Learning + Robotics
Jiajun Wu, Assistant Professor, Artificial Intelligence + Computational Cognitive & Neuro-science + Computer Vision + Human-Centered and Creative AI + Machine Learning + Robotics
Oussama Khatib, Professor, Artificial Intelligence + Biomedicine and Health + Computational Cognitive & Neuro-science + Human-Centered and Creative AI + Robotics
Diyi Yang, Assistant Professor, Artificial Intelligence + Empirical Machine Learning + Human-Centered and Creative AI + Machine Learning + Natural Language Processing and Speech
Marco Pavone, Courtesy Professor, Artificial Intelligence + Empirical Machine Learning + Human-Centered and Creative AI + Robotics
Chris Potts, Courtesy Professor, Artificial Intelligence + Natural Language Processing and Speech
Ron Fedkiw, Professor, Artificial Intelligence + Computer Graphics + Computer Vision
Percy Liang, Assistant Professor, Artificial Intelligence + Empirical Machine Learning + Machine Learning + Natural Language Processing and Speech + Statistical or Theoretical Machine Learning
Andrew Ng, Adjunct Professor, Artificial Intelligence + Machine Learning + Robotics
Juan Carlos Niebles, Adjunct Professor, Artificial Intelligence + Computer Vision + Machine Learning
Fred Kjolstad, Assistant Professor, Artificial Intelligence + Machine Learning
Ellen Vitercik, Assistant Professor, Artificial Intelligence + Machine Learning + Statistical or Theoretical Machine Learning + Theory
Dan Yamins, Assistant Professor, Artificial Intelligence + Computational Biology + Computational Cognitive & Neuro-science + Computer Vision + Empirical Machine Learning + Human-Centered and Creative AI
Anshul Kundaje, Assistant Professor, Artificial Intelligence + Biomedicine and Health + Computational Biology + Empirical Machine Learning
Karen Liu, Associate Professor, Artificial Intelligence + Computer Graphics + Human-Centered and Creative AI + Reinforcement Learning + Robotics
Monica Lam, Professor, Artificial Intelligence + Computer Systems + Human-Centered and Creative AI + Natural Language Processing and Speech
Silvio Savarese, Adjunct Professor, Artificial Intelligence + Computer Vision + Robotics
Mike Genesereth, Associate Professor, Artificial Intelligence
Ron Dror, Associate Professor, Artificial Intelligence + Biomedicine and Health + Computational Biology + Empirical Machine Learning
Tatsunori Hashimoto, Assistant Professor, Artificial Intelligence + Machine Learning + Natural Language Processing and Speech
Emily Fox, Courtesy Professor, Artificial Intelligence + Biomedicine and Health + Empirical Machine Learning + Statistical or Theoretical Machine Learning
Chris Manning, Professor, Artificial Intelligence + Empirical Machine Learning + Natural Language Processing and Speech
Dan Jurafsky, Professor, Artificial Intelligence + Natural Language Processing and Speech
Sebastian Thrun, Adjunct Professor, Artificial Intelligence + Machine Learning + Robotics
Clark Barrett, Professor, Artificial Intelligence + Architecture + Computer Systems + Human-Centered and Creative AI + Programming Systems and Verification
Leonidas Guibas, Professor, Artificial Intelligence + Computer Graphics + Computer Vision + Human-Centered and Creative AI + Natural Language Processing and Speech + Robotics
Gill Bejerano, Professor, Artificial Intelligence + Computational Biology
Chris Ré, Associate Professor, Artificial Intelligence + Computer Systems + Data Science + Statistical or Theoretical Machine Learning
